_gddid,pubname,publisher,title,doi,coverDate,URL,authors,highlight,hits,keywords,location,keyword
5750ecd9cf58f1b8cc00d4b3,Canadian Journal of Earth Sciences,Canadian Science Publishing,Nd–Sr isotopic constraints on the interactions of the Intermontane Superterrane with the western edge of North America in the southern Canadian Cordillera,10.1139/e95-136,October 1995,http://www.nrcresearchpress.com/doi/abs/10.1139/e95-136,"Ghosh, Dipak K.","[' in the Paleozoic oceanic crust of Quesnellia (E,, = +2.9 to +9.3) prior to its obduction over', ', and early Tertiary), the granitoids from western Quesnellia show primitive isotopic compositions', ', and those from eastern Quesnellia show eastward-increasing crust-contaminated compositions. The contaminated', ' characters of the Middle-Late Jurassic (180- 150 Ma) granitoids from eastern Quesnellia (rNd= +2.8', ' to -9.1; 87Sr/86Sr= 0.7041-0.7083) suggest that by 180 Ma, the eastern part of Quesnellia obducted']",5,,Quesnellia,andesite
57910449cf58f15dbad38104,Geol,GSA,Triassic-Jurassic silica-undersaturated and silica-saturated alkalic intrusions in the Cordillera of British Columbia: Implications for arc magmatism,10.1130/0091-7613(1995)023<0451:tjsuas>2.3.co;2,1995,http://dx.doi.org/10.1130/0091-7613(1995)023<0451:tjsuas>2.3.co;2,"Lang, James R.; Lueck, Brian; Mortensen, James K.; Kelly Russell, J.; Stanley, Clifford R.; Thompson, John F. H.","['. The saturated complexes are most abundant in Quesnellia and are multiphase complexes dominated by monzonite', ', and their emplacement into both Stikinia and Quesnellia between 210 and 200 Ma suggests that these terranes were', ' Stikinia and Quesnellia between 210 and 200 Ma, as deﬁned by new U-Pb dates on zircon and Pb-Pb', ' to andesite and pseudoleucite-bearing phonolites. Feldspathoid-bearing volcanic rocks are also present', '-saturated alkalic complexes of early Mesozoic age are found predominantly in Quesnellia (Fig. 1). Taken']",5,,Quesnellia,andesite
574bef81cf58f188a75155ed,Canadian Journal of Earth Sciences,Canadian Science Publishing,"Stratigraphic evolution of the Paleozoic Stikine assemblage in the Stikine and Iskut rivers area, northwestern British Columbia",10.1139/e91-087,June 1991,http://www.nrcresearchpress.com/doi/abs/10.1139/e91-087,"Brown, Derek A.; Logan, James M.; Gunning, Michael H.; Orchard, Michael J.; Bamber, Wayne E.","[' (Fig. 2). The result is a doubling-up of Paleozoic-Mesozoic arc terranes, Stikinia and Quesnellia', ', with Cache Creek terrane between the two. Assuming Quesnellia is the product of Cache Creek', ' are used. One solution is to infer that Stikinia and Quesnellia were part of the same arc generated', ' (1988). Quesnellia, exemplified by the Harper Ranch Group, also shows some similarity to both Stikinia', ', Stikinia; QN, Quesnellia.  Biostratigraphicstudies by Pan American Petroleum Corporation (now']",5,,Quesnellia,andesite
6063faf13f2ac7e70168fb1a,Tectonics,Wiley,"Triassic–Jurassic accretionary history and tectonic origin of Stikinia from U‐Pb geochronology and Lu‐Hf isotope analysis, British Columbia",10.1029/2020TC006505,,https://onlinelibrary.wiley.com/doi/10.1029/2020TC006505,"George, S.W.M.; Nelson, J.L.; Alberts, D.; Greig, C.J.; Gehrels, G.E.","[' to the Laurentian margin (Dusel-Bacon et al., 2006). Quesnellia is considered peri-Laurentian (Fig. 1', '.   Accepted Article  the Mystic subterrane of the Farewell terrane, the Okanagan subterrane of Quesnellia', ' Jurassic time as a complex collision between Stikinia, Yukon-Tanana terrane, northern Quesnellia', ', Cache Creek, and possibly Quesnellia (Colpron et al., 2015). Its fill, the Laberge Group (Lower', ' with the Quesnellia and Slide Mountain terranes farther east (Fig. 1). Collectively, these terranes are known']",5,,Quesnellia,andesite
5746f805cf58f19763485782,Canadian Journal of Earth Sciences,Canadian Science Publishing,"Geochronology and tectonic implications of magmatism and metamorphism, southern Kootenay Arc and neighbouring regions, southeastern British Columbia. Part I: Jurassic to mid-Cretaceous",10.1139/e83-178,December 1983,http://www.nrcresearchpress.com/doi/abs/10.1139/e83-178,"Archibald, D. A.; Glover, J. K.; Price, R. A.; Farrar, E.; Carmichael, D. M.","[' rocks of the allochthonous terrane Quesnellia (Q), part of terrane I. Upper Triassic to Middle Jurassic', ' of the Eastern assemblage and Quesnellia (Q in Fig. 2) form a broad salientwithin the westward', ' concavecurve of the Kootenay Arc. The relationship of Quesnellia and the Eastern assemblage to the underlying', ' to assess. As suggested by Okulitch and Peatfield (1977) and by Monger et al. (1982) strata of Quesnellia', ') and Struik (1982)have mapped rocks of Quesnellia and the Eastern tectono-stratigraphic assemblages']",5,,Quesnellia,andesite
620f3cd9ad0e9c819b10d6ee,,Geoarchive,NI 43-101 Technical Report for the Weyman Project in Canada dated 2020,,2020,https://www.zotero.org/groups/4530692/items/ZSHWV4N3,,"[' andesitic meta-volcanic rocks in the southwestern part of that area near the 2014 HPX Quesnellia Eastern', ' . . . . 7. 2014 HPX Quesnellia Survey: Copper in Soils', ' . . . . . . . . . . . . . . . . . . . . . . . . . . . 8. 2014 HPX Quesnellia Survey: Molybdenum in Soils', ' . . . . . . . . . . . . . . . . . . . . . . 9. 2014 HPX Quesnellia Survey: Gold in Soils', ' of the main Weyman property area, was optioned by Monumental Gold to cover the 2014 HPX Quesnellia Western']",5,,Quesnellia,andesite
574a623ecf58f119dd88ea34,Canadian Journal of Earth Sciences,Canadian Science Publishing,"The conglomerate of Churn Creek: Late Cretaceous basin evolution along the InsularIntermontane superterrane boundary, southern British Columbia",10.1139/e00-079,January 2001,http://www.nrcresearchpress.com/doi/abs/10.1139/e00-079,"Riesterer, J W; Mahoney, J Brian; Link, Paul Karl","[' andesite and basaltic andesite flows, with minor conglomerate and reworked epiclastic deposits', ' across Jurassic to Cretaceous plutons and volcanic rocks of Quesnellia (Intermontane superterrane', ', Stikinia, Cache Creek, and Quesnellia terranes (Monger et al. 1982). These terranes were structurally', ' Group is an upper Lower Cretaceous volcanic arc assemblage that overlaps Quesnellia and Cache Creek', ' (Figs. 1, 2). Albian volcanic rocks exposed in Churn Creek contain amygdaloidal andesite, basaltic']",5,,Quesnellia,andesite
620db66dad0e9c819b097d13,,Geoarchive,NI 43-101 Technical Report for the  Project in North America dated 2012,,2012,https://www.zotero.org/groups/4530692/items/WARQIVPR,,"[', an andesitic to rhyolitic volcanic arc belt of rocks, lying in south central British Columbia. This belt', ', Cadwallader, Bridge River, Shuksan, Methow, Stikinia, Cache Creek and Quesnellia, respectively from west', ' clastic sediments with minor carbonates and volcaniclastics to the west. The Quesnellia Terrane', ', which hosts the Highland Valley copper deposits. The Methow, Stikinia, Cache Creek and Quesnellia', ' of the Chilcotin Group, Eocene to Oligocene volcanics and Eocene basalt and andesite, local rhyolite']",5,,Quesnellia,andesite
620db66dad0e9c819b097ce5,,Geoarchive,NI 43-101 Technical Report for the Dora Project in North America dated 2010,,2010,https://www.zotero.org/groups/4530692/items/GRZQ5AM5,,"[' by generally north-south trending andesitic volcaniclastics and flows with minor amounts of intercalated felsic', ' some associated significant gold values. Overlying this unit are generally massive andesites', ' zone) is underlain by a sequence of partially altered andesite and felsic volcanics. The EB Zone', ' consists of a series of chalcedonic veins within mainly andesitic strata. Significant gold values have', ', Methow, Stikinia, Cache Creek and Quesnellia, respectively from west to east. Each terrane is bounded']",5,,Quesnellia,andesite
5d4c95350b45c76cafa40354,Canadian Journal of Earth Sciences,Canadian Science Publishing,The northern termination of the Cache Creek terrane in Yukon: Middle Triassic arc activity and Jurassic-Cretaceous structural imbrication,10.1139/cjes-2018-0262,April 2019,http://www.nrcresearchpress.com/doi/10.1139/cjes-2018-0262,"Bickerton, Luke; Colpron, Maurice; Gibson, Dan; Thorkelson, Derek J.; Crowley, James J.L.","[' consist of mid-Paleozoic to 47 early Mesozoic arc terranes (Yukon-Tanana, Stikinia and Quesnellia', ' formed as an 49 accretionary complex in the forearc region of Stikinia and Quesnellia (Fig. 1, inset', ' with coeval McCloud fusulinid fauna in Quesnellia and Stikinia that indicates a peri56 Laurentian', ' and Quesnellia (Fig. 1, inset) are generally considered to have developed as a contiguous 83 arc system because', ' in Quesnellia and Stikinia include correlation of prominent 89 Upper Triassic augite-(plagioclase-) phyric']",5,,Quesnellia,andesite
